Nu,solvent,sN,N,ε,q,MW,eHOMO,eUMO,NBO,MK,Polar,e+HOMO,e+LUMO,%VH,L,B1,B5,EPA,SNu,SInt,SH,μ,η,μ+
CC34,DCM,1.0,2.6,8.93,0,82.15,-0.27115,0.01228,-0.375,-0.445,78.614,-0.53785,-0.27073,22.2,5.9,1.71,6.47,-212.54,-5.26,-54.35,-122.52,-0.129435,0.28343,-0.40429
CC35,DCM,1.0,1.17,8.93,0,82.15,-0.28736,0.00502,-0.376,-0.546,73.6193,-0.53801,-0.28153,31.2,4.19,1.7,5.73,-203.68,-4.28,-55.2,-122.52,-0.14117,0.29238,-0.40977
CC36,DCM,0.98,1.1,8.93,0,68.12,-0.28901,0.00448,-0.38,-0.354,62.632,-0.55711,-0.29901,23.5,4.75,1.7,5.12,-195.91,-3.99,-57.04,-122.52,-0.142265,0.29349,-0.42806
CC37,DCM,1.06,2.3,8.93,0,66.1,-0.27648,0.01533,-0.183,-0.241,53.533,-0.57828,-0.28995,28.8,4.26,2.04,4.05,-203.13,-5.66,-59.03,-122.52,-0.130575,0.29181,-0.434115
CC38,DCM,1.1,0.67,8.93,0,80.13,-0.26856,0.00727,-0.16,-0.217,65.8233,-0.5479,-0.28831,33.1,3.92,2.05,4.99,-203.78,-5.91,-57.34,-122.52,-0.130645,0.27583,-0.418105
CC39,DCM,1.09,-0.25,8.93,0,94.16,-0.29442,0.04758,-0.2,-0.262,72.8053,-0.57138,-0.173,33.2,4.94,2.0,4.51,-207.39,-5.7,-57.85,-122.52,-0.12342,0.342,-0.37219
CC40,AN,0.88,3.93,37.5,0,106.17,-0.26715,-0.02723,-0.232,-0.378,96.3643,-0.48926,-0.26399,34.8,4.19,2.06,5.72,-219.48,-7.82,-56.26,-134.02,-0.14719,0.23992,-0.376625
CC41,DCM,0.68,-0.04,8.93,0,102.14,-0.29343,-0.00805,-0.213,-0.312,89.1447,-0.50542,-0.27882,20.2,5.38,1.7,6.57,-203.59,-7.79,-52.92,-122.52,-0.15074,0.28538,-0.39212
CX01,DMSO,0.69,14.0,46.7,0,180.27,-0.24665,0.0044,-0.8,-0.617,144.5167,-0.43361,-0.16726,41.8,5.03,2.72,7.36,-252.86,-13.49,-58.57,-134.71,-0.121125,0.25105,-0.300435
CX02,DCM,0.76,12.0,8.93,0,259.16,-0.25269,-0.00614,-0.797,-0.693,169.302,-0.41195,-0.17255,41.9,5.03,2.71,8.79,-249.92,-16.59,-58.59,-122.52,-0.129415,0.24655,-0.29225
CX02,DMSO,0.72,13.8,46.7,0,259.16,-0.25269,-0.00614,-0.797,-0.693,169.302,-0.41195,-0.17255,41.9,5.03,2.71,8.79,-249.92,-14.13,-60.93,-134.71,-0.129415,0.24655,-0.29225
CX03,DMSO,0.65,15.7,46.7,0,223.33,-0.22901,0.01907,-0.809,-0.717,189.2983,-0.35683,-0.14119,41.7,5.02,2.83,9.44,-262.31,-15.67,-55.21,-134.71,-0.10497,0.24808,-0.24901
CX04,DMSO,0.71,14.5,46.7,0,210.29,-0.24217,0.01311,-0.804,-0.79,166.1277,-0.39705,-0.15436,41.8,5.02,2.64,9.55,-256.66,-14.4,-57.13,-134.71,-0.11453,0.25528,-0.275705
